branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_ad479f96dd4e7edc1fd2,1,0,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,0,3.735420250450261e-05,empty,g001_p000000_empty,41.0,10.0,25.0,dike_hemisphere,9,154.5440484011571,14.884829032409776,15.294535624314307,9.010927041835465,3.721207258102444,3.8236339060785767,2.2527317604588664,0.014564701355993748,0.00021454878151416779,0.00021454878151416779,False,False,,,0,False
v4_branch_4f1efc5ce097158a964e,1,1,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,1,3.7354184314608574e-05,empty,g001_p000001_empty,42.0,9.0,25.0,ellipsoid,9,93.38568608685748,11.533596090150594,15.66178569020259,13.770504688507685,2.8833990225376485,3.9154464225506476,3.4426261721269213,0.014636989682912827,0.0002868371084332466,0.0002868371084332466,False,False,,,0,False
v4_branch_98ac20a20295309674fd,1,2,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,2,3.735418067662977e-05,empty,g001_p000002_empty,42.0,11.0,25.0,dike_hemisphere,9,2.4201627917131963,11.781044505878889,6.652386763820174,8.62716503414886,2.945261126469722,1.6630966909550435,2.156791258537215,0.014430880546569824,8.072797209024429e-05,8.072797209024429e-05,False,False,,,0,False
v4_branch_04603d550ce085fe14dd,1,3,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,3,3.735416612471454e-05,empty,g001_p000003_empty,43.0,10.0,25.0,dike_hemisphere,9,35.56202350310141,14.402963172839018,9.001800407957017,12.937302702814076,3.6007407932097544,2.250450101989254,3.234325675703519,0.014512864872813225,0.00016271229833364487,0.00016271229833364487,False,False,,,0,False
v4_branch_849d09867e12b41edd36,1,4,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,4,3.655440013972111e-05,empty,g001_p000004_empty,12.0,41.0,20.0,ellipsoid,9,43.10281010947506,7.92242395847873,12.291878531050266,12.149970730264696,1.9806059896196826,3.0729696327625664,3.037492682566174,0.014592348597943783,0.00024219602346420288,0.00024219602346420288,False,False,,,0,False
v4_branch_667cfee2b84fc6d7d0f0,1,5,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,5,3.655438922578469e-05,empty,g001_p000005_empty,12.0,43.0,20.0,dike_hemisphere,9,56.84491745392405,7.833591037947077,6.807437053155505,10.81969050953954,1.9583977594867692,1.7018592632888763,2.704922627384885,0.014379790984094143,2.9638409614562988e-05,2.9638409614562988e-05,False,False,,,0,False
v4_branch_b2766bc2ec6ded685bd4,1,6,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,6,3.465093323029578e-05,empty,g001_p000006_empty,41.0,11.0,24.0,dike_hemisphere,9,87.83983112760117,7.758925489796136,9.684460133413856,9.869370372282829,1.939731372449034,2.421115033353464,2.467342593070707,0.014425142668187618,7.499009370803833e-05,7.499009370803833e-05,False,False,,,0,False
v4_branch_dcfc6626293c4c70624c,1,7,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,7,3.465092959231697e-05,empty,g001_p000007_empty,41.0,9.0,24.0,dike_hemisphere,9,80.85068649403175,8.36758149974754,15.685863051742166,6.431951181444503,2.091895374936885,3.9214657629355414,1.6079877953611257,0.014463070780038834,0.00011291820555925369,0.00011291820555925369,False,False,,,0,False
v4_branch_00cec22f92bf4c6d1ec9,1,8,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,8,3.4650911402422935e-05,empty,g001_p000008_empty,43.0,9.0,24.0,dike_hemisphere,9,154.3713694700639,9.246038181478738,15.369598806861681,9.321866556009176,2.3115095453696846,3.8423997017154203,2.330466639002294,0.014516601338982582,0.00016644876450300217,0.00016644876450300217,False,False,,,0,False
v4_branch_5e03989c1d7973456d93,1,9,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,9,3.4650911402422935e-05,empty,g001_p000009_empty,43.0,11.0,24.0,dike_hemisphere,9,94.34486339694047,14.15220586540368,11.145771702562316,11.635781549326206,3.53805146635092,2.786442925640579,2.9089453873315514,0.014580153860151768,0.0002300012856721878,0.0002300012856721878,False,False,,,0,False
