branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_caa73d2aa37364f5b36b,new_center,1,0,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,8.985492968349718e-06,37.0,30.0,17.0,dike_hemisphere,9,154.5440484011571,14.884829032409776,15.294535624314307,9.010927041835465,0,0.25,3.721207258102444,3.8236339060785767,2.2527317604588664,0.014672142453491688,0.00019452720880508423,0.00019452720880508423,False,0,False,,terminated_non_improving_hard_step,False
branch_950fb5026498e27d6872,new_center,1,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,8.79508752404945e-06,43.0,56.0,39.0,ellipsoid,9,93.38568608685748,11.533596090150594,15.66178569020259,13.770504688507685,0,0.25,2.8833990225376485,3.9154464225506476,3.4426261721269213,0.014722943305969238,0.00024532806128263474,0.00024532806128263474,False,0,False,,terminated_non_improving_hard_step,False
branch_ded23400bd79519e885a,new_center,1,2,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,8.667049769428559e-06,34.0,43.0,22.0,dike_hemisphere,9,2.4201627917131963,11.781044505878889,6.652386763820174,8.62716503414886,0,0.25,2.945261126469722,1.6630966909550435,2.156791258537215,0.014541521668434143,6.390642374753952e-05,6.390642374753952e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_41a7215ccfbab43d79ca,new_center,1,3,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,8.366426300199237e-06,51.0,45.0,19.0,dike_hemisphere,9,35.56202350310141,14.402963172839018,9.001800407957017,12.937302702814076,0,0.25,3.6007407932097544,2.250450101989254,3.234325675703519,0.014628732576966286,0.00015111733227968216,0.00015111733227968216,False,0,False,,terminated_non_improving_hard_step,False
branch_a7235fe8757a5bbd2c9d,new_center,1,4,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,8.018434527912177e-06,59.0,5.0,19.0,ellipsoid,9,43.10281010947506,7.92242395847873,12.291878531050266,12.149970730264696,0,0.25,1.9806059896196826,3.0729696327625664,3.037492682566174,0.014696772210299969,0.00021915696561336517,0.00021915696561336517,False,0,False,,terminated_non_improving_hard_step,False
branch_a44b94f433e75a470cdb,new_center,1,5,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,8.018432708922774e-06,59.0,4.0,19.0,dike_hemisphere,9,56.84491745392405,7.833591037947077,6.807437053155505,10.81969050953954,0,0.25,1.9583977594867692,1.7018592632888763,2.704922627384885,0.014486038126051426,8.422881364822388e-06,8.422881364822388e-06,False,0,False,,terminated_non_improving_hard_step,False
branch_991e4bd9f83f8e39401e,new_center,1,6,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,7.5660245784092695e-06,38.0,32.0,35.0,dike_hemisphere,9,87.83983112760117,7.758925489796136,9.684460133413856,9.869370372282829,0,0.25,1.939731372449034,2.421115033353464,2.467342593070707,0.014541521668434143,6.390642374753952e-05,6.390642374753952e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_1be1d105c00be3071c38,new_center,1,7,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,7.554219337180257e-06,36.0,31.0,19.0,dike_hemisphere,9,80.85068649403175,8.36758149974754,15.685863051742166,6.431951181444503,0,0.25,2.091895374936885,3.9214657629355414,1.6079877953611257,0.014587312005460262,0.00010969676077365875,0.00010969676077365875,False,0,False,,terminated_non_improving_hard_step,False
branch_ba9d5b1e41dd1122a5fb,new_center,1,8,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,7.390586688416079e-06,39.0,32.0,35.0,dike_hemisphere,9,154.3713694700639,9.246038181478738,15.369598806861681,9.321866556009176,0,0.25,2.3115095453696846,3.8423997017154203,2.330466639002294,0.014628731645643711,0.00015111640095710754,0.00015111640095710754,False,0,False,,terminated_non_improving_hard_step,False
branch_e35b71ebef1d08e4c41d,new_center,1,9,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,7.215148798422888e-06,38.0,33.0,35.0,dike_hemisphere,9,94.34486339694047,14.15220586540368,11.145771702562316,11.635781549326206,0,0.25,3.53805146635092,2.786442925640579,2.9089453873315514,0.014730642549693584,0.0002530273050069809,0.0002530273050069809,False,0,False,,terminated_non_improving_hard_step,False
branch_fdd07709284105e809e7,new_center,1,10,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,7.215148798422888e-06,39.0,33.0,35.0,dike_hemisphere,9,36.67920954154552,9.400145888282742,14.874568253654289,7.685941539417954,0,0.25,2.3500364720706854,3.718642063413572,1.9214853848544886,0.014732730574905872,0.0002551153302192688,0.0002551153302192688,False,0,False,,terminated_non_improving_hard_step,False
branch_3ea49c29943efb82ed7d,new_center,1,11,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,7.183050001913216e-06,45.0,38.0,17.0,ellipsoid,9,170.146686242125,6.621951669464021,10.858231928955648,8.649234863356693,0,0.25,1.6554879173660053,2.714557982238912,2.162308715839173,0.014558869414031506,8.125416934490204e-05,8.125416934490204e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_0089c5bfd94d9540feb2,new_center,1,12,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,7.090032795531442e-06,6.0,32.0,21.0,ellipsoid,9,156.53800815158374,9.157701322862945,8.790279062207492,6.533167388427262,0,0.25,2.289425330715736,2.197569765551873,1.6332918471068154,0.014659986831247807,0.000182371586561203,0.000182371586561203,False,0,False,,terminated_non_improving_hard_step,False
branch_c7f5eff0b8ee3b71eeb1,new_center,1,13,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,7.045578058750834e-06,44.0,38.0,17.0,dike_hemisphere,9,152.34625249249413,15.03935973815226,8.382208503542902,11.668889172411257,0,0.25,3.759839934538065,2.0955521258857255,2.9172222931028142,0.014657877385616302,0.00018026214092969894,0.00018026214092969894,False,0,False,,terminated_non_improving_hard_step,False
branch_89a8ebe21bf3c90c8d7c,new_center,1,14,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,6.9269635787350126e-06,11.0,49.0,17.0,dike_hemisphere,9,161.13969277006095,12.76963488689288,13.064941899110902,11.841092833259154,0,0.25,3.19240872172322,3.2662354747777256,2.9602732083147885,0.01473020389676094,0.000252588652074337,0.000252588652074337,False,0,False,,terminated_non_improving_hard_step,False
branch_9a3689bb873da126b455,new_center,1,15,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,6.843950814072741e-06,45.0,41.0,14.0,dike_hemisphere,9,8.355806157443379,13.51231806677529,14.991892940373162,7.180707363022235,0,0.25,3.3780795166938224,3.7479732350932906,1.7951768407555588,0.014804265461862087,0.0003266502171754837,0.0003266502171754837,False,0,False,,terminated_non_improving_hard_step,False
branch_fa15ecd871d2952a608f,new_center,1,16,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,6.781237516406691e-06,53.0,49.0,19.0,ellipsoid,9,41.13207739357359,14.900105168898001,14.921587022576796,9.293362061690065,0,0.25,3.7250262922245003,3.730396755644199,2.323340515422516,0.014788037165999413,0.000310421921312809,0.000310421921312809,False,0,False,,terminated_non_improving_hard_step,False
